Product_Category,Supplier_Region,Shipping_Mode,Warehouse_Type,Order_Quantity,Distance_km,Supplier_Lead_Time_days,Transportation_Cost,Inventory_Level,Demand_Forecast,Supplier_Reliability_Score,Historical_Delay_Rate,Delivery_Time_days,Delivery_Status
Perishable Food,Latin America,Air,Automated,1416.0,6329.9,10.0,70325.23,1674.0,1365.0,77.3,0.176,13.8,Early
Apparel,East Asia,Road,Automated,263.0,10650.5,10.0,8662.19,249.0,292.0,75.2,0.134,52.9,Severely Delayed
Pharmaceuticals,Europe,Sea,Manual,358.0,8236.1,14.0,3478.51,297.0,323.0,90.4,0.065,60.0,Severely Delayed
Electronics,Southeast Asia,Sea,Manual,470.0,8942.6,21.0,5107.22,359.0,375.0,72.9,0.152,60.9,Delayed
Automotive Parts,East Asia,Sea,Hybrid,947.0,8020.8,23.0,7893.84,485.0,814.0,89.1,0.119,57.7,Delayed
Furniture,Europe,Road,Hybrid,154.0,4776.8,4.0,2242.83,96.0,181.0,86.0,0.07,19.9,On Time
Automotive Parts,East Asia,Road,Cross-Dock,193.0,7958.6,19.0,4740.24,114.0,133.0,79.9,0.076,51.6,Delayed
Apparel,South Asia,Sea,Cross-Dock,665.0,7333.5,24.0,5696.16,481.0,510.0,68.8,0.096,54.9,Delayed
Industrial Equipment,South Asia,Sea,Automated,56.0,9048.4,25.0,751.18,51.0,57.0,73.6,0.139,66.4,Severely Delayed
Industrial Equipment,Latin America,Rail,Automated,164.0,7597.2,14.0,3298.57,150.0,202.0,75.2,0.163,37.0,On Time
Automotive Parts,East Asia,Sea,Cross-Dock,112.0,8390.4,24.0,1234.82,133.0,126.0,82.3,0.077,59.5,Delayed
Electronics,East Asia,Rail,Manual,364.0,11246.7,17.0,8165.17,190.0,413.0,95.2,0.01,53.9,Delayed
Perishable Food,Latin America,Air,Manual,447.0,8112.5,6.0,29597.0,645.0,553.0,69.3,0.136,15.9,On Time
Electronics,East Asia,Road,Automated,958.0,12430.9,14.0,39750.72,682.0,848.0,76.7,0.105,69.3,Severely Delayed
Electronics,Southeast Asia,Sea,Hybrid,392.0,7981.4,22.0,3550.64,408.0,319.0,75.2,0.098,56.9,Delayed
Furniture,Europe,Air,Automated,164.0,7866.3,6.0,12573.7,128.0,142.0,90.0,0.059,9.9,Early
Furniture,North America,Rail,Automated,93.0,3741.2,10.0,930.37,91.0,91.0,82.3,0.06,19.0,On Time
Industrial Equipment,Europe,Road,Manual,109.0,7327.3,8.0,3062.0,42.0,116.0,95.9,0.01,31.7,On Time
Apparel,Europe,Road,Hybrid,310.0,6292.8,6.0,5765.95,323.0,421.0,86.5,0.151,31.9,Delayed
Apparel,East Asia,Sea,Automated,326.0,9309.1,24.0,3580.57,449.0,410.0,92.2,0.051,64.9,Severely Delayed
Perishable Food,Latin America,Sea,Hybrid,2172.0,9463.6,22.0,22402.36,1676.0,2113.0,80.0,0.145,63.9,Severely Delayed
Electronics,Latin America,Rail,Manual,1391.0,10064.3,19.0,24717.89,1170.0,1287.0,76.0,0.095,55.1,Severely Delayed
Electronics,Southeast Asia,Sea,Manual,75.0,8976.5,24.0,1026.65,68.0,97.0,75.9,0.086,63.5,Delayed
Perishable Food,Europe,Air,Manual,596.0,4432.1,7.0,23637.39,652.0,806.0,81.9,0.098,9.8,Early
Apparel,North America,Road,Automated,1182.0,3662.3,8.0,14773.21,1623.0,1407.0,86.2,0.118,20.8,On Time
Furniture,North America,Air,Manual,157.0,3086.4,1.0,4865.29,124.0,152.0,83.5,0.116,2.2,Early
Perishable Food,East Asia,Air,Cross-Dock,516.0,8566.5,14.0,39976.9,203.0,599.0,75.3,0.149,25.3,On Time
Automotive Parts,North America,Road,Automated,299.0,3788.2,8.0,4124.62,328.0,453.0,91.7,0.074,19.3,On Time
Furniture,Europe,,Cross-Dock,69.0,8486.6,16.0,865.79,69.0,72.0,90.0,0.021,50.1,Delayed
Apparel,Europe,Sea,Automated,916.0,6228.5,17.0,6940.5,310.0,1048.0,78.7,0.069,41.5,On Time
Automotive Parts,South Asia,Sea,Manual,214.0,9756.9,20.0,2618.96,115.0,318.0,71.1,0.165,64.8,Severely Delayed
Automotive Parts,North America,Rail,Hybrid,302.0,2808.9,10.0,2191.19,565.0,396.0,85.1,0.16,16.3,Early
Perishable Food,Europe,Road,Hybrid,1541.0,7941.1,7.0,38513.81,1622.0,1575.0,96.7,0.072,35.1,Delayed
Apparel,South Asia,Rail,Automated,749.0,7758.2,20.0,14572.61,577.0,921.0,61.4,0.185,46.6,Delayed
Furniture,Latin America,Sea,Automated,241.0,9130.4,20.0,2591.3,232.0,185.0,83.5,0.148,60.3,Delayed
Electronics,Europe,Air,Hybrid,188.0,8118.3,3.0,14651.56,122.0,214.0,91.5,0.107,9.3,On Time
Electronics,East Asia,Road,Automated,264.0,8411.5,12.0,6874.74,285.0,279.0,66.6,0.155,45.7,Delayed
Electronics,East Asia,Air,Hybrid,171.0,11684.6,12.0,19624.7,181.0,181.0,78.2,0.086,27.7,Delayed
Automotive Parts,Europe,Road,Hybrid,262.0,6256.3,5.0,5138.19,250.0,226.0,90.7,0.084,26.3,On Time
Furniture,South Asia,Road,Automated,38.0,6367.8,13.0,1058.92,62.0,46.0,69.9,0.1,35.9,On Time
Furniture,Southeast Asia,Road,Hybrid,12.0,6241.9,15.0,363.28,9.0,14.0,74.4,0.059,37.5,On Time
Automotive Parts,East Asia,Sea,Automated,110.0,12211.0,20.0,1726.74,81.0,110.0,95.7,0.097,76.2,Severely Delayed
Perishable Food,East Asia,Air,Cross-Dock,1586.0,11451.6,16.0,151706.47,1893.0,1500.0,79.5,0.113,33.1,Delayed
Pharmaceuticals,South Asia,Road,Cross-Dock,71.0,6580.4,21.0,1374.12,23.0,71.0,67.5,0.164,48.1,Delayed
Electronics,Europe,Sea,Hybrid,456.0,7138.1,14.0,3933.03,440.0,521.0,93.5,0.026,40.8,Delayed
Electronics,Latin America,Sea,Cross-Dock,245.0,9000.5,23.0,2475.83,237.0,269.0,63.6,0.176,61.0,Delayed
Furniture,Southeast Asia,Road,Hybrid,93.0,7679.1,11.0,2537.08,27.0,99.0,80.2,0.149,39.8,Delayed
Perishable Food,North America,Air,Automated,314.0,4107.8,2.0,9562.42,196.0,314.0,93.5,0.01,1.0,Early
Pharmaceuticals,Southeast Asia,Road,Automated,142.0,7276.9,15.0,3140.27,144.0,176.0,87.0,0.078,42.6,Delayed
Automotive Parts,East Asia,Sea,Automated,440.0,5752.3,32.0,3059.88,459.0,373.0,84.5,0.107,56.2,Delayed
Furniture,North America,Road,Manual,36.0,3663.7,4.0,589.05,16.0,40.0,88.6,0.076,15.1,On Time
Pharmaceuticals,Latin America,Sea,Hybrid,134.0,8905.8,21.0,1563.72,81.0,181.0,71.8,0.125,60.4,Delayed
Pharmaceuticals,South Asia,Sea,Manual,235.0,6431.1,22.0,1944.26,423.0,260.0,86.8,0.062,61.2,Severely Delayed
Apparel,Latin America,Air,Hybrid,824.0,7386.4,8.0,50266.12,825.0,924.0,72.4,0.155,16.9,On Time
Electronics,East Asia,Sea,Manual,285.0,6833.4,24.0,,183.0,278.0,80.7,0.052,52.6,Delayed
Perishable Food,East Asia,Air,Automated,2609.0,8879.7,13.0,201865.63,1375.0,2468.0,81.6,0.163,21.1,On Time
Apparel,North America,Sea,Automated,607.0,2948.6,10.0,2485.84,631.0,684.0,92.9,0.037,17.9,Early
Perishable Food,Southeast Asia,Sea,Cross-Dock,1421.0,9623.4,22.0,12832.28,1311.0,1288.0,73.7,0.135,65.0,Severely Delayed
Automotive Parts,South Asia,Sea,Manual,442.0,7869.4,20.0,4307.44,445.0,383.0,67.8,0.199,55.2,Delayed
Apparel,Southeast Asia,Sea,Manual,444.0,7484.8,20.0,3705.07,545.0,659.0,72.0,0.201,53.5,Delayed
Electronics,East Asia,Sea,Automated,61.0,10393.9,29.0,945.89,30.0,59.0,76.7,0.165,80.3,Severely Delayed
Apparel,Europe,Rail,Cross-Dock,1030.0,6374.3,10.0,13738.26,1542.0,1150.0,87.1,0.033,27.4,On Time
Apparel,North America,Sea,Automated,1023.0,3330.2,14.0,3853.63,494.0,1285.0,86.3,0.081,24.9,On Time
Furniture,East Asia,Air,Hybrid,318.0,9406.3,13.0,25010.54,154.0,391.0,80.9,0.046,24.2,On Time
Pharmaceuticals,Europe,Road,Automated,168.0,8572.4,10.0,4153.67,128.0,160.0,87.1,0.045,40.8,Delayed
Automotive Parts,Europe,Sea,Automated,1325.0,7253.5,15.0,12928.15,2098.0,1501.0,89.6,0.061,42.7,Delayed
Furniture,North America,Sea,Hybrid,185.0,3312.0,6.0,925.55,314.0,245.0,84.2,0.073,16.6,On Time
Perishable Food,,Road,Hybrid,1935.0,11028.5,17.0,62735.14,1434.0,2294.0,92.2,0.046,63.5,Severely Delayed
Automotive Parts,East Asia,Road,Hybrid,139.0,10966.9,14.0,5273.3,48.0,138.0,89.5,0.056,58.6,Severely Delayed
Electronics,Latin America,Road,Automated,365.0,9211.4,12.0,11620.92,331.0,433.0,75.2,0.14,49.0,Delayed
Electronics,Europe,Road,Cross-Dock,860.0,6115.6,10.0,16982.84,428.0,902.0,92.4,0.074,28.2,On Time
Electronics,Southeast Asia,Sea,Manual,123.0,7617.6,26.0,1206.05,182.0,123.0,69.2,0.218,60.2,Delayed
Furniture,Europe,Sea,Cross-Dock,4.0,5242.1,11.0,284.79,5.0,4.0,84.5,0.079,29.4,On Time
Perishable Food,Southeast Asia,Air,Automated,630.0,8466.4,9.0,45245.03,91.0,544.0,73.2,0.18,14.4,Early
Electronics,East Asia,Sea,Manual,986.0,8457.1,24.0,8758.95,1091.0,1264.0,73.5,0.117,61.3,Delayed
Perishable Food,North America,Air,Manual,2065.0,3224.9,1.0,55165.76,2462.0,2613.0,87.7,0.136,3.1,Early
Electronics,Europe,Road,Hybrid,338.0,7230.1,8.0,7249.32,244.0,267.0,99.0,0.01,31.8,On Time
Furniture,East Asia,Road,Hybrid,68.0,12385.1,18.0,2970.62,32.0,63.0,82.6,0.09,73.9,Severely Delayed
Perishable Food,East Asia,Road,Manual,1324.0,10139.9,16.0,41214.3,579.0,1349.0,91.2,0.048,58.1,Severely Delayed
Perishable Food,Europe,Air,Automated,2069.0,6377.0,4.0,142235.81,1990.0,2305.0,96.8,0.01,3.5,Early
Apparel,Southeast Asia,Sea,Automated,984.0,8172.3,22.0,9284.3,231.0,809.0,70.3,0.147,56.8,Delayed
Furniture,Europe,Air,Automated,284.0,7831.4,2.0,,320.0,,88.2,0.055,5.0,Early
Apparel,East Asia,Sea,Hybrid,1517.0,10163.0,23.0,17550.29,1114.0,1886.0,79.6,0.127,68.8,Severely Delayed
Electronics,Latin America,Sea,Automated,466.0,9106.9,20.0,4709.86,510.0,538.0,77.6,0.129,59.2,Delayed
Electronics,East Asia,Sea,Automated,574.0,9952.4,23.0,6967.11,736.0,677.0,84.8,0.041,68.4,Severely Delayed
Industrial Equipment,East Asia,Road,Manual,79.0,7057.1,15.0,1781.59,43.0,88.0,92.0,0.059,40.9,Delayed
Industrial Equipment,Latin America,Road,Automated,14.0,9418.5,10.0,525.54,6.0,14.0,73.2,0.087,46.4,Delayed
Furniture,Europe,Road,Cross-Dock,136.0,5476.0,8.0,2669.5,84.0,118.0,93.0,0.054,26.0,On Time
Apparel,Latin America,Road,Manual,223.0,9424.8,16.0,7576.47,219.0,235.0,68.1,0.193,56.3,Severely Delayed
Industrial Equipment,Southeast Asia,Air,Cross-Dock,22.0,7114.9,11.0,2092.49,14.0,23.0,67.2,0.24,21.0,On Time
Automotive Parts,Europe,Air,Hybrid,738.0,7191.7,2.0,46518.95,533.0,555.0,92.0,0.093,7.5,On Time
Furniture,South Asia,Sea,Manual,75.0,7001.6,26.0,862.84,134.0,90.0,74.9,0.185,56.1,Delayed
Perishable Food,South Asia,Road,Manual,783.0,5715.6,14.0,12361.01,418.0,808.0,77.3,0.102,35.5,On Time
Apparel,Latin America,Air,Hybrid,280.0,8339.6,13.0,24113.76,235.0,266.0,80.5,0.124,24.0,On Time
Electronics,Southeast Asia,Road,Hybrid,181.0,11455.9,14.0,6666.55,129.0,165.0,78.0,0.139,62.8,Severely Delayed
Industrial Equipment,South Asia,Rail,Automated,65.0,4254.1,18.0,793.51,54.0,72.0,79.0,0.111,31.6,On Time
Perishable Food,South Asia,Air,Cross-Dock,1136.0,7415.6,10.0,80156.88,448.0,1158.0,80.1,0.074,18.8,On Time
Apparel,South Asia,Rail,Manual,556.0,5890.3,16.0,7317.99,306.0,538.0,73.1,0.221,36.1,On Time
Apparel,South Asia,Sea,Manual,866.0,8984.4,25.0,8385.58,1456.0,1154.0,70.4,0.189,65.9,Severely Delayed
Pharmaceuticals,Southeast Asia,Road,Manual,398.0,9404.9,14.0,11392.22,159.0,323.0,87.9,0.112,51.4,Delayed
Electronics,East Asia,Sea,Hybrid,83.0,9817.9,26.0,1221.95,39.0,97.0,84.3,0.095,70.3,Severely Delayed
Automotive Parts,South Asia,Sea,Manual,564.0,8389.0,22.0,5251.16,635.0,607.0,75.7,0.213,59.0,Delayed
Automotive Parts,Latin America,Sea,Manual,451.0,9187.4,20.0,4563.15,625.0,583.0,66.1,0.15,61.2,Severely Delayed
Furniture,North America,Sea,Automated,134.0,3503.9,14.0,772.02,154.0,186.0,91.5,0.01,25.3,On Time
Perishable Food,North America,Sea,Manual,355.0,3122.7,12.0,1466.27,308.0,433.0,91.9,0.049,34.5,Delayed
Furniture,South Asia,Air,Automated,87.0,6732.3,9.0,5543.28,168.0,112.0,68.4,0.202,13.5,Early
Pharmaceuticals,East Asia,Rail,Cross-Dock,357.0,8706.5,17.0,6631.84,329.0,424.0,86.4,0.111,46.4,Delayed
Furniture,East Asia,Air,Manual,39.0,9517.7,14.0,3863.86,33.0,33.0,80.5,0.055,27.1,On Time
Electronics,East Asia,Rail,Cross-Dock,1340.0,6264.5,13.0,16385.05,592.0,1258.0,68.7,0.214,31.1,On Time
Perishable Food,East Asia,Air,Hybrid,1775.0,11260.7,14.0,163574.43,2562.0,1955.0,78.9,0.109,31.4,Delayed
Electronics,East Asia,Air,Hybrid,167.0,12829.2,9.0,20609.43,101.0,200.0,87.8,0.061,26.4,Delayed
Perishable Food,South Asia,Road,Cross-Dock,735.0,6639.8,15.0,16247.03,602.0,946.0,68.6,0.185,40.5,Delayed
Apparel,East Asia,Sea,Automated,184.0,11509.2,27.0,2526.0,146.0,201.0,96.5,0.047,82.4,Severely Delayed
Electronics,Latin America,Air,Manual,683.0,8587.6,7.0,50875.44,499.0,,74.9,0.168,18.6,On Time
Electronics,East Asia,Sea,Automated,316.0,8470.1,25.0,3391.91,222.0,233.0,95.4,0.065,61.8,Delayed
Pharmaceuticals,South Asia,Road,Automated,278.0,6705.2,18.0,5523.17,318.0,323.0,67.4,0.158,43.2,Delayed
Electronics,Southeast Asia,Road,Manual,357.0,8326.5,13.0,8768.84,384.0,404.0,68.7,0.207,46.1,Delayed
Industrial Equipment,East Asia,Sea,Hybrid,112.0,,22.0,1215.95,118.0,105.0,80.6,0.078,65.1,Severely Delayed
Pharmaceuticals,North America,Sea,Hybrid,109.0,3881.9,13.0,634.31,62.0,114.0,82.4,0.092,24.6,On Time
Apparel,Southeast Asia,Road,Automated,2793.0,7433.5,17.0,77101.51,1091.0,2870.0,73.3,0.205,47.8,Delayed
Pharmaceuticals,North America,Road,Hybrid,374.0,2823.9,11.0,3147.07,352.0,257.0,99.0,0.066,19.6,On Time
Electronics,East Asia,Sea,Automated,609.0,9465.9,22.0,7118.9,333.0,523.0,80.2,0.13,65.4,Severely Delayed
Industrial Equipment,Europe,Road,Automated,88.0,5688.1,10.0,1758.52,92.0,97.0,78.5,0.076,28.9,On Time
Perishable Food,Europe,Air,Automated,428.0,6117.0,3.0,24726.06,112.0,463.0,89.8,0.033,2.6,Early
Automotive Parts,South Asia,Sea,Hybrid,309.0,7129.6,19.0,3005.55,495.0,316.0,81.9,0.104,46.7,Delayed
Electronics,East Asia,Road,Manual,250.0,7209.1,16.0,6097.13,289.0,289.0,70.8,0.224,45.6,Delayed
Perishable Food,East Asia,Air,Automated,2033.0,11994.7,12.0,218963.38,827.0,1970.0,73.9,0.081,25.3,On Time
Perishable Food,Southeast Asia,Air,Automated,472.0,9399.5,10.0,45129.32,453.0,398.0,76.3,0.139,18.8,On Time
Industrial Equipment,South Asia,Sea,Manual,75.0,6383.4,23.0,696.11,95.0,115.0,66.8,0.177,57.5,Delayed
Pharmaceuticals,East Asia,Rail,Hybrid,81.0,9467.3,20.0,1954.99,37.0,96.0,81.0,0.11,54.9,Delayed
Perishable Food,North America,Air,Automated,1469.0,3900.5,4.0,52417.96,40.0,1524.0,98.6,0.026,3.8,Early
Apparel,Latin America,Air,Hybrid,373.0,9130.6,14.0,30899.94,670.0,510.0,69.7,0.133,27.4,On Time
Apparel,East Asia,Road,Hybrid,1047.0,12714.5,17.0,41885.42,1301.0,1026.0,84.7,0.139,79.6,Severely Delayed
Pharmaceuticals,East Asia,Road,Manual,474.0,9091.9,16.0,14303.07,632.0,577.0,85.2,0.077,52.1,Delayed
Perishable Food,South Asia,Air,Automated,3052.0,8740.9,11.0,231024.8,3275.0,2919.0,69.2,0.17,20.3,On Time
Electronics,Europe,Road,Cross-Dock,322.0,4938.5,7.0,4817.26,217.0,379.0,81.7,0.056,20.3,On Time
Automotive Parts,North America,Sea,Manual,485.0,2756.1,11.0,1739.35,480.0,487.0,96.0,0.021,19.3,Early
Industrial Equipment,Southeast Asia,Sea,Manual,71.0,10686.3,17.0,1141.87,52.0,85.0,76.3,0.116,71.3,Severely Delayed
Electronics,East Asia,Sea,Cross-Dock,272.0,8761.4,21.0,2855.43,296.0,297.0,83.3,0.117,57.0,Delayed
Pharmaceuticals,South Asia,Road,Hybrid,435.0,5687.0,17.0,8342.22,657.0,530.0,73.8,0.135,39.1,On Time
Electronics,South Asia,Sea,Hybrid,260.0,7138.1,24.0,2419.15,321.0,300.0,73.2,0.124,54.1,Delayed
Furniture,South Asia,Road,Hybrid,188.0,8838.1,16.0,5719.26,140.0,170.0,75.2,0.101,51.5,Delayed
Apparel,North America,Sea,Automated,45.0,3019.0,11.0,416.27,20.0,56.0,83.3,0.072,19.8,Early
Furniture,Southeast Asia,Sea,Hybrid,70.0,8138.4,20.0,917.77,48.0,59.0,78.3,0.071,53.2,Delayed
Furniture,South Asia,Road,Manual,222.0,4796.6,12.0,3606.68,316.0,277.0,68.0,0.192,30.7,On Time
Automotive Parts,Europe,Air,Cross-Dock,409.0,5951.5,2.0,18624.04,258.0,405.0,99.0,0.01,6.0,Early
Electronics,East Asia,Sea,Manual,729.0,11205.2,22.0,8728.62,883.0,724.0,85.7,0.106,73.0,Severely Delayed
Industrial Equipment,North America,Rail,Automated,75.0,3005.9,3.0,643.16,65.0,59.0,91.7,0.06,9.9,Early
Apparel,South Asia,Sea,Manual,1124.0,5551.6,23.0,7575.69,1136.0,1183.0,67.6,0.189,48.8,Delayed
Electronics,North America,Road,Hybrid,205.0,3011.0,3.0,2018.86,109.0,238.0,96.6,0.048,10.6,Early
Pharmaceuticals,East Asia,Sea,Manual,381.0,8457.4,24.0,4082.11,418.0,484.0,79.2,0.096,74.5,Severely Delayed
Apparel,Latin America,Sea,Hybrid,892.0,10011.3,16.0,11209.18,1598.0,993.0,75.6,0.133,58.6,Severely Delayed
Automotive Parts,Southeast Asia,Sea,Automated,378.0,8760.6,22.0,4542.93,166.0,302.0,72.0,0.148,61.8,Delayed
Automotive Parts,Southeast Asia,Sea,Automated,710.0,9045.7,22.0,7682.18,511.0,642.0,64.5,0.149,61.3,Delayed
Apparel,Southeast Asia,Road,Manual,1256.0,8242.0,13.0,31483.82,1276.0,1474.0,85.2,0.089,43.0,Delayed
Industrial Equipment,East Asia,Road,Manual,120.0,8440.0,20.0,3462.42,149.0,122.0,85.5,0.077,54.6,Delayed
Apparel,North America,Sea,Hybrid,1163.0,3010.9,12.0,4367.77,1612.0,1400.0,87.6,0.054,21.9,On Time
Perishable Food,South Asia,Air,Cross-Dock,1342.0,7760.3,11.0,82933.33,1419.0,1664.0,85.8,0.023,19.6,On Time
Apparel,Southeast Asia,Road,Hybrid,259.0,10545.4,10.0,9695.82,161.0,254.0,75.9,0.096,57.5,Severely Delayed
Industrial Equipment,East Asia,Sea,Manual,80.0,7891.3,22.0,926.32,82.0,74.0,89.3,0.056,62.6,Severely Delayed
Electronics,East Asia,Sea,Manual,344.0,7759.2,22.0,3243.86,523.0,419.0,72.2,0.151,54.5,Delayed
Electronics,Europe,Sea,Cross-Dock,468.0,5171.1,17.0,2703.25,489.0,551.0,86.0,0.064,32.9,On Time
Perishable Food,East Asia,Air,Hybrid,1901.0,10921.9,15.0,203282.48,2669.0,2254.0,80.2,0.117,30.6,Delayed
Industrial Equipment,Europe,Sea,Hybrid,123.0,6450.7,14.0,1003.24,132.0,142.0,82.1,0.079,43.9,Delayed
Industrial Equipment,East Asia,Sea,Manual,118.0,10449.7,24.0,1609.78,60.0,150.0,76.7,0.141,80.0,Severely Delayed
Furniture,Europe,Sea,Hybrid,15.0,5905.7,17.0,353.55,20.0,15.0,88.9,0.039,38.0,On Time
Industrial Equipment,Southeast Asia,Sea,Automated,70.0,9112.5,20.0,1005.76,96.0,76.0,75.0,0.157,59.8,Delayed
Industrial Equipment,North America,Sea,Hybrid,54.0,3318.8,8.0,450.44,33.0,62.0,88.8,0.114,26.1,On Time
Perishable Food,East Asia,Air,Cross-Dock,1445.0,6858.2,15.0,98532.01,1977.0,1569.0,78.9,0.064,24.5,On Time
Apparel,East Asia,Rail,Cross-Dock,1470.0,11078.2,20.0,33586.71,1039.0,1025.0,88.1,0.026,60.6,Severely Delayed
Automotive Parts,East Asia,Sea,Automated,499.0,9438.1,25.0,5692.76,224.0,414.0,74.5,0.099,67.9,Severely Delayed
Furniture,East Asia,Sea,Hybrid,40.0,8969.4,26.0,676.75,51.0,49.0,82.3,0.061,65.8,Delayed
Apparel,North America,Sea,Automated,666.0,3677.2,15.0,3037.39,344.0,740.0,87.3,0.03,26.9,On Time
Electronics,South Asia,Sea,Manual,9.0,5328.4,24.0,315.03,12.0,11.0,70.8,0.178,46.6,On Time
Furniture,East Asia,Road,Hybrid,222.0,10236.5,14.0,6467.92,134.0,264.0,68.9,0.181,57.4,Severely Delayed
Apparel,East Asia,Rail,Manual,472.0,8481.2,15.0,8200.42,222.0,549.0,81.8,0.055,43.1,Delayed
Industrial Equipment,Latin America,Road,Manual,152.0,8552.7,,4114.3,169.0,174.0,68.3,0.238,50.2,Delayed
Apparel,East Asia,Sea,Hybrid,1380.0,11448.2,24.0,18560.11,579.0,967.0,83.7,0.089,78.0,Severely Delayed
Electronics,South Asia,Air,Hybrid,881.0,8032.3,11.0,70135.61,622.0,981.0,92.4,0.033,19.5,On Time
Automotive Parts,North America,Air,Hybrid,291.0,3388.9,5.0,9523.32,190.0,275.0,91.0,0.028,6.3,Early
Electronics,East Asia,Sea,Manual,1238.0,9327.1,26.0,12653.3,1018.0,1229.0,84.8,0.081,68.2,Severely Delayed
Electronics,Latin America,Air,Hybrid,758.0,4744.1,9.0,32876.65,915.0,848.0,67.3,0.135,14.5,On Time
Pharmaceuticals,East Asia,Road,Manual,185.0,8094.6,15.0,5028.57,168.0,233.0,83.0,0.094,47.1,Delayed
Automotive Parts,Europe,Road,Automated,908.0,6695.5,10.0,19443.96,900.0,981.0,87.3,0.01,33.2,On Time
Electronics,Europe,Road,Manual,269.0,5605.9,9.0,4689.73,242.0,328.0,83.0,0.115,28.0,On Time
Apparel,Southeast Asia,Sea,Hybrid,851.0,6242.2,20.0,5562.35,719.0,638.0,70.5,0.22,45.6,Delayed
Automotive Parts,Europe,Road,Automated,637.0,7061.8,1.0,13352.85,162.0,874.0,90.8,0.016,22.3,On Time
Industrial Equipment,Europe,Sea,Automated,109.0,8028.5,13.0,1134.15,130.0,112.0,84.0,0.108,43.6,Delayed
Perishable Food,South Asia,Rail,Cross-Dock,573.0,6265.1,19.0,7821.46,737.0,584.0,68.3,0.238,41.6,Delayed
Electronics,North America,Sea,Cross-Dock,863.0,4051.3,9.0,3910.36,930.0,912.0,97.9,0.015,19.8,Early
Electronics,Europe,Road,Hybrid,688.0,7348.0,9.0,17115.7,598.0,656.0,97.2,0.066,34.2,Delayed
Apparel,North America,Road,Hybrid,1831.0,2884.6,6.0,14016.93,1521.0,1657.0,84.4,0.057,19.6,On Time
Electronics,North America,Road,Cross-Dock,850.0,3041.6,3.0,7858.4,1299.0,978.0,96.3,0.045,9.3,Early
Furniture,East Asia,Sea,Manual,250.0,12583.3,26.0,3671.48,214.0,246.0,72.2,0.101,87.4,Severely Delayed
Electronics,East Asia,Road,Automated,758.0,7589.9,17.0,18781.09,670.0,897.0,76.3,0.104,46.8,Delayed
Perishable Food,South Asia,Air,Hybrid,1524.0,6410.7,11.0,88925.54,862.0,1653.0,66.7,0.232,20.8,On Time
Furniture,East Asia,Road,Cross-Dock,119.0,12861.4,14.0,5400.45,107.0,133.0,79.0,0.041,70.3,Severely Delayed
Pharmaceuticals,South Asia,Sea,Hybrid,393.0,6462.7,25.0,3385.83,361.0,390.0,74.0,0.177,54.3,Delayed
Electronics,East Asia,Road,Automated,200.0,11813.6,14.0,7957.63,29.0,213.0,74.5,0.206,65.6,Severely Delayed
Automotive Parts,North America,Sea,Cross-Dock,904.0,2856.1,9.0,3128.21,784.0,899.0,87.4,0.045,18.6,On Time
Furniture,Europe,Air,Hybrid,489.0,6661.8,4.0,31027.01,191.0,633.0,82.3,0.105,11.0,On Time
Furniture,North America,Road,Manual,202.0,4184.1,3.0,2802.64,340.0,273.0,91.4,0.041,15.0,On Time
